# clock	walking	resting	collected_food	energy
1	0	20	0	0
2	0	20	0	0
3	4	16	0	-4
4	6	14	0	-10
5	6	14	0	-16
6	6	14	0	-22
7	7	13	0	-29
8	10	10	0	-39
9	11	9	0	-50
10	15	5	0	-65
11	18	2	0	-83
12	18	2	0	-101
13	18	2	0	-119
14	18	2	0	-137
15	18	2	0	-155
16	18	2	0	-173
17	18	2	0	-191
18	18	2	0	-209
19	18	2	0	-227
20	18	2	0	-245
21	19	1	0	-264
22	19	1	0	-283
23	19	1	0	-302
24	19	1	0	-321
25	19	1	0	-340
26	19	1	0	-359
27	19	1	0	-378
28	19	1	0	-397
29	19	1	0	-416
30	19	1	0	-435
31	19	1	0	-454
32	19	1	0	-473
33	20	0	0	-493
34	20	0	0	-513
35	20	0	0	-533
36	20	0	0	-553
37	20	0	0	-573
38	20	0	0	-593
39	20	0	0	-613
40	20	0	0	-633
41	20	0	0	-653
42	20	0	0	-673
43	20	0	0	-693
44	20	0	0	-713
45	20	0	0	-733
46	20	0	0	-753
47	20	0	0	-773
48	20	0	0	-793
49	20	0	0	-813
50	20	0	0	-833
51	20	0	0	-853
52	20	0	0	-873
53	20	0	0	-893
54	20	0	0	-913
55	20	0	0	-933
56	20	0	0	-953
57	20	0	0	-973
58	20	0	0	-993
59	20	0	0	-1013
60	20	0	0	-1033
61	20	0	0	-1053
62	20	0	0	-1073
63	20	0	0	-1093
64	20	0	0	-1113
65	20	0	0	-1133
66	20	0	0	-1153
67	20	0	0	-1173
68	20	0	0	-1193
69	20	0	0	-1213
70	20	0	0	-1233
71	20	0	0	-1253
72	20	0	0	-1273
73	20	0	0	-1293
74	20	0	0	-1313
75	20	0	0	-1333
76	20	0	0	-1353
77	20	0	0	-1373
78	20	0	0	-1393
79	20	0	0	-1413
80	20	0	0	-1433
81	20	0	0	-1453
82	20	0	0	-1473
83	20	0	0	-1493
84	20	0	0	-1513
85	20	0	0	-1533
86	20	0	0	-1553
87	20	0	0	-1573
88	20	0	0	-1593
89	20	0	0	-1613
90	20	0	0	-1633
91	20	0	0	-1653
92	20	0	0	-1673
93	20	0	0	-1693
94	20	0	0	-1713
95	20	0	0	-1733
96	20	0	0	-1753
97	20	0	0	-1773
98	20	0	0	-1793
99	20	0	0	-1813
100	20	0	0	-1833
101	20	0	0	-1853
102	20	0	0	-1873
103	20	0	0	-1893
104	20	0	0	-1913
105	20	0	0	-1933
106	20	0	0	-1953
107	20	0	0	-1973
108	20	0	0	-1993
109	20	0	0	-2013
110	20	0	0	-2033
111	20	0	0	-2053
112	20	0	0	-2073
113	20	0	0	-2093
114	20	0	0	-2113
115	20	0	0	-2133
116	20	0	0	-2153
117	20	0	0	-2173
118	20	0	0	-2193
119	20	0	0	-2213
120	20	0	0	-2233
121	20	0	0	-2253
122	20	0	0	-2273
123	20	0	0	-2293
124	20	0	1	-1313
125	20	0	1	-1333
126	20	0	1	-1353
127	20	0	1	-1373
128	20	0	1	-1393
129	20	0	1	-1413
130	20	0	1	-1433
131	20	0	1	-1453
132	20	0	1	-1473
133	20	0	1	-1493
134	20	0	1	-1513
135	20	0	1	-1533
136	20	0	1	-1553
137	20	0	1	-1573
138	20	0	1	-1593
139	20	0	2	-613
140	20	0	2	-633
141	20	0	3	347
142	20	0	3	327
143	20	0	3	307
144	20	0	3	287
145	20	0	3	267
146	20	0	3	247
147	20	0	3	227
148	20	0	3	207
149	20	0	3	187
150	20	0	3	167
151	20	0	3	147
152	20	0	3	127
153	20	0	3	107
154	20	0	3	87
155	20	0	3	67
156	20	0	3	47
157	20	0	3	27
158	20	0	3	7
159	20	0	3	-13
160	20	0	3	-33
161	20	0	3	-53
162	20	0	3	-73
163	20	0	3	-93
164	20	0	3	-113
165	20	0	3	-133
166	20	0	3	-153
167	20	0	3	-173
168	20	0	3	-193
169	20	0	3	-213
170	20	0	3	-233
171	20	0	3	-253
172	20	0	3	-273
173	20	0	3	-293
174	20	0	3	-313
175	20	0	3	-333
176	20	0	4	647
177	20	0	4	627
178	20	0	4	607
179	20	0	4	587
180	20	0	4	567
181	20	0	4	547
182	20	0	4	527
183	20	0	4	507
184	20	0	4	487
185	20	0	4	467
186	20	0	4	447
187	20	0	4	427
188	20	0	4	407
189	20	0	4	387
190	20	0	4	367
191	20	0	4	347
192	20	0	4	327
193	20	0	4	307
194	20	0	4	287
195	20	0	4	267
196	20	0	4	247
197	19	1	4	228
198	19	1	4	209
199	18	2	4	191
200	18	2	4	173
201	17	3	4	156
202	17	3	4	139
203	17	3	4	122
204	17	3	4	105
205	17	3	4	88
206	17	3	4	71
207	17	3	4	54
208	17	3	4	37
209	17	3	4	20
210	17	3	4	3
211	17	3	4	-14
212	17	3	4	-31
213	17	3	4	-48
214	17	3	4	-65
215	17	3	4	-82
216	17	3	4	-99
217	17	3	4	-116
218	17	3	4	-133
219	17	3	4	-150
220	17	3	4	-167
221	17	3	4	-184
222	17	3	4	-201
223	17	3	4	-218
224	17	3	4	-235
225	17	3	4	-252
226	17	3	4	-269
227	17	3	4	-286
228	17	3	4	-303
229	17	3	4	-320
230	17	3	4	-337
231	17	3	4	-354
232	17	3	4	-371
233	17	3	4	-388
234	16	4	4	-404
235	16	4	4	-420
236	16	4	4	-436
237	16	4	4	-452
238	16	4	4	-468
239	16	4	4	-484
240	16	4	4	-500
241	16	4	4	-516
242	16	4	4	-532
243	16	4	4	-548
244	16	4	4	-564
245	16	4	4	-580
246	16	4	4	-596
247	16	4	4	-612
248	16	4	4	-628
249	16	4	4	-644
250	16	4	4	-660
251	16	4	4	-676
252	16	4	4	-692
253	16	4	4	-708
254	16	4	4	-724
255	16	4	4	-740
256	17	3	4	-757
257	17	3	4	-774
258	17	3	4	-791
259	17	3	4	-808
260	17	3	4	-825
261	17	3	4	-842
262	17	3	4	-859
263	17	3	4	-876
264	17	3	4	-893
265	17	3	4	-910
266	17	3	4	-927
267	17	3	4	-944
268	17	3	4	-961
269	17	3	4	-978
270	17	3	4	-995
271	17	3	4	-1012
272	17	3	4	-1029
273	17	3	4	-1046
274	17	3	4	-1063
275	17	3	4	-1080
276	17	3	4	-1097
277	18	2	4	-1115
278	18	2	4	-1133
279	18	2	4	-1151
280	18	2	4	-1169
281	18	2	4	-1187
282	18	2	4	-1205
283	18	2	4	-1223
284	18	2	4	-1241
285	18	2	4	-1259
286	18	2	4	-1277
287	18	2	4	-1295
288	18	2	4	-1313
289	18	2	4	-1331
290	19	1	4	-1350
291	19	1	4	-1369
292	19	1	4	-1388
293	19	1	4	-1407
294	19	1	4	-1426
295	19	1	4	-1445
296	19	1	4	-1464
297	19	1	4	-1483
298	19	1	5	-502
299	20	0	5	-522
300	20	0	5	-542
301	20	0	5	-562
302	20	0	5	-582
303	20	0	5	-602
304	20	0	5	-622
305	20	0	5	-642
306	20	0	5	-662
307	20	0	5	-682
308	20	0	5	-702
309	20	0	5	-722
310	20	0	5	-742
311	20	0	5	-762
312	20	0	5	-782
313	20	0	5	-802
314	20	0	5	-822
315	20	0	5	-842
316	20	0	5	-862
317	20	0	5	-882
318	20	0	5	-902
319	20	0	5	-922
320	20	0	5	-942
321	20	0	5	-962
322	20	0	5	-982
323	20	0	5	-1002
324	20	0	5	-1022
325	20	0	5	-1042
326	20	0	5	-1062
327	20	0	5	-1082
328	20	0	5	-1102
329	20	0	5	-1122
330	20	0	5	-1142
331	20	0	5	-1162
332	20	0	5	-1182
333	20	0	5	-1202
334	20	0	5	-1222
335	20	0	5	-1242
336	20	0	5	-1262
337	20	0	5	-1282
338	20	0	5	-1302
339	20	0	5	-1322
340	20	0	5	-1342
341	20	0	5	-1362
342	20	0	5	-1382
343	20	0	5	-1402
344	20	0	5	-1422
345	20	0	5	-1442
346	20	0	5	-1462
347	20	0	5	-1482
348	20	0	5	-1502
349	20	0	5	-1522
350	20	0	5	-1542
351	20	0	5	-1562
352	20	0	5	-1582
353	20	0	5	-1602
354	20	0	5	-1622
355	20	0	5	-1642
356	20	0	5	-1662
357	20	0	5	-1682
358	20	0	5	-1702
359	20	0	5	-1722
360	20	0	5	-1742
361	20	0	5	-1762
362	20	0	5	-1782
363	20	0	6	-802
364	20	0	6	-822
365	20	0	6	-842
366	20	0	6	-862
367	20	0	6	-882
368	20	0	6	-902
369	20	0	6	-922
370	20	0	6	-942
371	20	0	6	-962
372	20	0	6	-982
373	20	0	6	-1002
374	19	1	6	-1021
375	19	1	6	-1040
376	19	1	6	-1059
377	19	1	7	-78
378	19	1	7	-97
379	19	1	7	-116
380	19	1	7	-135
381	19	1	7	-154
382	19	1	7	-173
383	19	1	7	-192
384	19	1	7	-211
385	19	1	7	-230
386	19	1	7	-249
387	19	1	7	-268
388	19	1	7	-287
389	19	1	7	-306
390	19	1	7	-325
391	19	1	7	-344
392	19	1	7	-363
393	19	1	7	-382
394	19	1	7	-401
395	19	1	7	-420
396	19	1	7	-439
397	19	1	7	-458
398	19	1	7	-477
399	19	1	7	-496
400	19	1	7	-515
401	19	1	7	-534
402	19	1	7	-553
403	19	1	7	-572
404	19	1	7	-591
405	19	1	7	-610
406	19	1	7	-629
407	19	1	7	-648
408	19	1	7	-667
409	19	1	7	-686
410	19	1	7	-705
411	19	1	7	-724
412	19	1	7	-743
413	19	1	7	-762
414	19	1	7	-781
415	19	1	7	-800
416	19	1	7	-819
417	19	1	7	-838
418	19	1	7	-857
419	19	1	7	-876
420	19	1	7	-895
421	18	2	7	-913
422	18	2	7	-931
423	18	2	7	-949
424	18	2	7	-967
425	18	2	7	-985
426	18	2	7	-1003
427	18	2	7	-1021
428	18	2	7	-1039
429	18	2	7	-1057
430	18	2	7	-1075
431	18	2	7	-1093
432	18	2	7	-1111
433	18	2	7	-1129
434	18	2	7	-1147
435	17	3	7	-1164
436	17	3	7	-1181
437	17	3	7	-1198
438	17	3	7	-1215
439	17	3	7	-1232
440	17	3	7	-1249
441	17	3	7	-1266
442	17	3	7	-1283
443	17	3	7	-1300
444	17	3	7	-1317
445	17	3	7	-1334
446	17	3	7	-1351
447	17	3	7	-1368
448	17	3	7	-1385
449	17	3	7	-1402
450	17	3	7	-1419
451	17	3	7	-1436
452	17	3	7	-1453
453	17	3	7	-1470
454	17	3	7	-1487
455	17	3	7	-1504
456	17	3	8	-521
457	17	3	8	-538
458	17	3	8	-555
459	17	3	8	-572
460	17	3	8	-589
461	17	3	8	-606
462	17	3	8	-623
463	17	3	8	-640
464	17	3	8	-657
465	17	3	8	-674
466	17	3	8	-691
467	17	3	8	-708
468	17	3	8	-725
469	17	3	8	-742
470	17	3	8	-759
471	17	3	8	-776
472	17	3	8	-793
473	17	3	8	-810
474	17	3	8	-827
475	17	3	8	-844
476	17	3	8	-861
477	17	3	8	-878
478	17	3	8	-895
479	17	3	8	-912
480	17	3	8	-929
481	17	3	8	-946
482	17	3	8	-963
483	17	3	8	-980
484	17	3	8	-997
485	17	3	8	-1014
486	17	3	8	-1031
487	18	2	8	-1049
488	18	2	8	-1067
489	18	2	8	-1085
490	18	2	8	-1103
491	18	2	8	-1121
492	18	2	8	-1139
493	18	2	8	-1157
494	18	2	8	-1175
495	18	2	8	-1193
496	18	2	8	-1211
497	18	2	8	-1229
498	18	2	8	-1247
499	18	2	8	-1265
500	18	2	8	-1283
501	18	2	8	-1301
502	18	2	8	-1319
503	18	2	8	-1337
504	18	2	8	-1355
505	18	2	8	-1373
506	18	2	8	-1391
507	18	2	8	-1409
508	18	2	8	-1427
509	18	2	8	-1445
510	18	2	8	-1463
511	18	2	8	-1481
512	18	2	8	-1499
513	18	2	8	-1517
514	17	3	8	-1534
515	17	3	8	-1551
516	17	3	8	-1568
517	17	3	8	-1585
518	17	3	8	-1602
519	17	3	8	-1619
520	17	3	8	-1636
521	17	3	8	-1653
522	17	3	8	-1670
523	17	3	8	-1687
524	17	3	8	-1704
525	17	3	8	-1721
526	17	3	8	-1738
527	17	3	8	-1755
528	17	3	9	-772
529	17	3	9	-789
530	17	3	9	-806
531	17	3	9	-823
532	17	3	9	-840
533	17	3	9	-857
534	17	3	9	-874
535	17	3	9	-891
536	17	3	9	-908
537	17	3	9	-925
538	17	3	9	-942
539	17	3	9	-959
540	17	3	9	-976
541	17	3	9	-993
542	17	3	9	-1010
543	17	3	9	-1027
544	17	3	9	-1044
545	17	3	9	-1061
546	17	3	9	-1078
547	18	2	9	-1096
548	18	2	9	-1114
549	18	2	9	-1132
550	18	2	9	-1150
551	18	2	9	-1168
552	18	2	9	-1186
553	18	2	9	-1204
554	18	2	9	-1222
555	18	2	9	-1240
556	18	2	9	-1258
557	18	2	9	-1276
558	18	2	9	-1294
559	18	2	9	-1312
560	18	2	9	-1330
561	18	2	9	-1348
562	18	2	9	-1366
563	18	2	9	-1384
564	18	2	9	-1402
565	18	2	9	-1420
566	18	2	9	-1438
567	18	2	9	-1456
568	18	2	9	-1474
569	18	2	9	-1492
570	18	2	9	-1510
571	18	2	9	-1528
572	18	2	9	-1546
573	18	2	9	-1564
574	18	2	9	-1582
575	18	2	9	-1600
576	18	2	9	-1618
577	18	2	9	-1636
578	18	2	9	-1654
579	18	2	9	-1672
580	18	2	9	-1690
581	18	2	9	-1708
582	18	2	9	-1726
583	18	2	9	-1744
584	19	1	9	-1763
585	19	1	9	-1782
586	19	1	9	-1801
587	19	1	9	-1820
588	19	1	9	-1839
589	19	1	9	-1858
590	19	1	9	-1877
591	18	2	9	-1895
592	18	2	9	-1913
593	18	2	9	-1931
594	18	2	9	-1949
595	18	2	9	-1967
596	18	2	9	-1985
597	18	2	9	-2003
598	18	2	9	-2021
599	18	2	9	-2039
600	18	2	9	-2057
601	18	2	9	-2075
602	18	2	9	-2093
603	18	2	9	-2111
604	18	2	9	-2129
605	18	2	9	-2147
606	18	2	10	-1165
607	18	2	11	-183
608	18	2	11	-201
609	18	2	11	-219
610	18	2	11	-237
611	18	2	11	-255
612	18	2	11	-273
613	18	2	11	-291
614	18	2	11	-309
615	18	2	11	-327
616	18	2	11	-345
617	18	2	11	-363
618	18	2	11	-381
619	18	2	11	-399
620	18	2	11	-417
621	18	2	11	-435
622	18	2	11	-453
623	18	2	11	-471
624	19	1	11	-490
625	19	1	11	-509
626	19	1	11	-528
627	19	1	11	-547
628	19	1	11	-566
629	19	1	11	-585
630	19	1	11	-604
631	19	1	11	-623
632	19	1	11	-642
633	19	1	11	-661
634	19	1	11	-680
635	19	1	11	-699
636	19	1	11	-718
637	19	1	11	-737
638	19	1	11	-756
639	19	1	11	-775
640	19	1	11	-794
641	19	1	11	-813
642	19	1	11	-832
643	19	1	11	-851
644	19	1	11	-870
645	19	1	12	111
646	19	1	12	92
647	19	1	12	73
648	19	1	12	54
649	19	1	12	35
650	19	1	12	16
651	19	1	12	-3
652	19	1	12	-22
653	19	1	12	-41
654	19	1	12	-60
655	19	1	12	-79
656	19	1	12	-98
657	19	1	12	-117
658	19	1	12	-136
659	19	1	12	-155
660	19	1	12	-174
661	19	1	12	-193
662	18	2	12	-211
663	18	2	12	-229
664	17	3	13	754
665	17	3	13	737
666	16	4	13	721
667	16	4	13	705
668	16	4	13	689
669	16	4	13	673
670	16	4	13	657
671	16	4	13	641
672	16	4	13	625
673	16	4	13	609
674	16	4	13	593
675	15	5	13	578
676	15	5	13	563
677	15	5	13	548
678	15	5	13	533
679	15	5	13	518
680	15	5	13	503
681	15	5	13	488
682	15	5	13	473
683	15	5	13	458
684	15	5	13	443
685	15	5	13	428
686	15	5	13	413
687	15	5	14	1398
688	15	5	14	1383
689	15	5	14	1368
690	15	5	14	1353
691	15	5	14	1338
692	15	5	14	1323
693	15	5	14	1308
694	15	5	14	1293
695	15	5	14	1278
696	15	5	14	1263
697	15	5	14	1248
698	15	5	14	1233
699	15	5	14	1218
700	15	5	14	1203
701	15	5	14	1188
702	15	5	14	1173
703	14	6	14	1159
704	14	6	14	1145
705	14	6	14	1131
706	14	6	14	1117
707	14	6	14	1103
708	14	6	14	1089
709	14	6	14	1075
710	14	6	14	1061
711	14	6	14	1047
712	14	6	14	1033
713	14	6	14	1019
714	14	6	14	1005
715	14	6	14	991
716	14	6	14	977
717	14	6	14	963
718	14	6	14	949
719	15	5	14	934
720	16	4	14	918
721	16	4	14	902
722	15	5	14	887
723	15	5	14	872
724	15	5	14	857
725	15	5	14	842
726	15	5	14	827
727	15	5	14	812
728	15	5	14	797
729	15	5	14	782
730	15	5	14	767
731	15	5	14	752
732	15	5	14	737
733	15	5	14	722
734	15	5	14	707
735	16	4	14	691
736	16	4	14	675
